Wiki,dbname,DP-means (4 clusters),DP-means (5 clusters),Hierarchical (10 clusters),Hierarchical (4 clusters),Hierarchical (5 clusters),k-means (4 clusters),k-means (5 clusters),k-means (10 clusters),Model-based (4 clusters)
Azerbaijani Wiktionary,azwiktionary,1,2,6,3,4,4,3,7,7
Zeelandic Wikipedia,zeawiki,1,2,6,3,4,2,3,2,10
Voro Wikipedia,NA,1,2,6,3,4,2,3,2,5
Catalan Wikibooks,cawikibooks,1,2,6,3,4,2,3,2,5
Galician Wiktionary,glwiktionary,1,2,6,3,4,4,3,7,7
Vietnamese Wikivoyage,viwikivoyage,1,2,6,3,4,2,3,2,5
Saterland Frisian Wikipedia,stqwiki,1,2,6,3,4,2,3,2,7
Friulian Wikipedia,furwiki,1,2,6,3,4,2,3,2,10
Ukrainian Wikibooks,ukwikibooks,1,1,4,3,3,2,5,5,9
Abkhazian Wikipedia,abwiki,1,2,6,3,4,2,3,2,1
Kannada Wiktionary,knwiktionary,1,2,3,1,1,4,3,7,9
Malayalam Wiktionary,mlwiktionary,1,2,3,1,1,4,3,7,4
Norfuk-Pitkern Wikipedia,pihwiki,1,1,8,3,3,2,5,2,10
Church Slavic Wikipedia,cuwiki,1,1,6,3,4,2,5,2,1
Polish Wikinews,plwikinews,1,2,3,1,1,4,3,2,7
Udmurt Wikipedia,udmwiki,1,2,6,3,4,2,3,2,7
Kabiye Wikipedia,kbpwiki,4,4,9,4,5,3,2,3,2
Tarantino Wikipedia,roa_tarawiki,1,2,6,3,4,2,3,2,7
Kashubian Wikipedia,csbwiki,1,2,6,3,4,2,3,2,10
Chavacano Wikipedia,cbk_zamwiki,1,2,8,3,3,2,3,2,10
Jamaican Creole English Wikipedia,jamwiki,1,1,6,3,4,2,3,2,10
Manx Wikipedia,gvwiki,1,2,6,3,4,2,3,2,7
Komi Wikipedia,kvwiki,1,2,6,3,4,2,3,2,7
Colognian Wikipedia,kshwiki,1,2,4,3,3,2,3,2,5
Novial Wikipedia,novwiki,1,2,6,3,4,2,3,2,5
Doteli Wikipedia,dtywiki,4,4,9,4,5,3,2,3,2
Hawaiian Wikipedia,hawwiki,1,2,6,3,4,2,3,2,7
Pangasinan Wikipedia,pagwiki,1,2,6,3,4,2,3,2,5
Maori Wikipedia,miwiki,1,2,6,3,4,2,3,2,5
Russia Buriat Wikipedia,bxrwiki,1,1,6,3,4,2,3,2,10
Lithuanian Wikiquote,ltwikiquote,1,1,6,3,4,2,5,2,7
Cornish Wikipedia,kwwiki,1,2,6,3,4,2,3,2,5
Uyghur Wikipedia,ugwiki,1,2,6,3,4,2,3,2,6
Palatine German Wikipedia,pflwiki,1,2,6,3,4,2,3,2,1
Georgian Wiktionary,kawiktionary,1,2,3,1,1,2,3,6,9
Danish Wikisource,dawikisource,1,1,6,3,4,2,3,2,7
Croatian Wikibooks,hrwikibooks,1,1,4,3,3,2,5,2,9
Tswana Wikipedia,tnwiki,1,1,4,3,3,2,5,2,5
Indonesian Wikiquote,idwikiquote,1,2,4,3,3,2,3,2,9
Bangla Wiktionary,bnwiktionary,1,2,3,1,1,2,3,7,7
Lingala Wikipedia,lnwiki,1,2,6,3,4,2,3,2,10
Malay Wiktionary,mswiktionary,1,2,4,3,3,2,3,2,9
Slovenian Wikiquote,slwikiquote,1,1,6,3,4,2,5,6,7
Avaric Wikipedia,avwiki,1,2,7,1,1,2,3,2,1
Icelandic Wikibooks,iswikibooks,1,1,8,3,3,2,5,5,7
Albanian Wiktionary,sqwiktionary,1,2,8,3,3,2,3,2,9
Walloon Wiktionary,wawiktionary,1,2,3,1,1,2,3,8,3
Slovak Wikibooks,skwikibooks,1,1,4,3,3,2,5,5,5
Extremaduran Wikipedia,extwiki,1,2,6,3,4,2,3,2,10
Greek Wikiversity,elwikiversity,1,1,4,3,3,2,5,5,9
Bulgarian Wikisource,bgwikisource,1,1,4,3,3,2,3,2,8
Gagauz Wikipedia,gagwiki,1,1,6,3,4,2,3,2,7
Northern Sotho Wikipedia,nsowiki,1,2,6,3,4,2,3,2,7
Tsonga Wikipedia,tswiki,1,1,6,3,4,2,5,2,7
Catalan Wikisource,cawikisource,1,2,6,3,4,2,3,2,7
Greek Wikivoyage,elwikivoyage,1,1,6,3,4,2,5,2,5
Sicilian Wiktionary,scnwiktionary,1,2,8,3,3,2,3,2,9
Belarusian Wikisource,bewikisource,1,1,6,3,4,2,3,2,7
Ukrainian Wikinews,ukwikinews,1,1,6,3,4,2,5,6,7
Kara-Kalpak Wikipedia,kaawiki,1,1,6,3,4,2,3,2,10
Khmer Wiktionary,kmwiktionary,1,1,8,3,3,2,3,2,9
Latvian Wiktionary,lvwiktionary,1,2,8,3,3,2,3,2,9
Danish Wikibooks,dawikibooks,1,1,6,3,4,2,5,2,7
Malayalam Wikiquote,mlwikiquote,1,1,8,3,3,2,5,5,9
Lithuanian Wikibooks,ltwikibooks,1,1,4,3,3,2,5,5,9
Czech Wikinews,cswikinews,1,2,6,3,4,2,3,2,7
Albanian Wikibooks,sqwikibooks,1,2,8,3,3,2,3,2,9
Bislama Wikipedia,biwiki,1,1,6,3,4,2,5,2,10
Norman Wikipedia,nrmwiki,1,2,6,3,4,2,3,2,7
Aromanian Wikipedia,roa_rupwiki,1,1,6,3,4,2,5,2,10
Vlax Romani Wikipedia,rmywiki,1,1,8,3,3,2,5,2,10
Uzbek Wiktionary,uzwiktionary,1,2,3,1,1,4,3,7,9
Divehi Wikipedia,dvwiki,1,2,6,3,4,2,3,2,6
Breton Wiktionary,brwiktionary,1,2,8,3,3,2,3,7,9
Ganda Wikipedia,lgwiki,1,1,6,3,4,2,5,2,7
Navajo Wikipedia,nvwiki,1,2,6,3,4,2,3,2,7
Bulgarian Wikibooks,bgwikibooks,1,1,6,3,4,2,5,5,8
Cherokee Wikipedia,chrwiki,1,1,6,3,4,2,5,2,5
Southern Sotho Wikipedia,stwiki,1,1,4,3,3,2,5,2,5
Kazakh Wikibooks,kkwikibooks,1,1,8,3,3,2,5,5,9
Occitan Wiktionary,ocwiktionary,1,2,6,3,4,2,3,7,7
Gujarati Wikisource,guwikisource,1,2,6,3,4,2,3,2,7
Buginese Wikipedia,bugwiki,1,2,8,3,3,2,3,7,10
Latin Wiktionary,lawiktionary,1,2,6,3,4,2,3,7,7
Bangla Wikibooks,bnwikibooks,1,1,4,3,3,2,5,5,1
Korean Wikiquote,kowikiquote,1,1,8,3,3,2,5,2,9
Kalaallisut Wikipedia,klwiki,1,1,6,3,4,2,3,2,5
Kikuyu Wikipedia,kiwiki,1,1,6,3,4,2,5,6,5
Western Mari Wikipedia,mrjwiki,1,2,6,3,4,2,3,2,7
Akan Wikipedia,akwiki,1,1,6,3,4,2,5,2,1
Malagasy Wiktionary,mgwiktionary,2,2,3,1,1,4,3,7,4
Wolof Wikipedia,wowiki,1,1,6,3,4,2,5,2,10
Bambara Wikipedia,bmwiki,1,1,6,3,4,2,5,2,10
Romanian Wikibooks,rowikibooks,1,1,6,3,4,2,5,5,5
Twi Wikipedia,twwiki,1,1,6,3,4,2,5,6,8
Aramaic Wikipedia,arcwiki,1,1,6,3,4,2,5,2,6
Hungarian Wikisource,huwikisource,1,2,6,3,4,4,3,7,7
Atikamekw Wikipedia,atjwiki,4,4,9,4,5,3,2,3,2
Belarusian Wikiquote,bewikiquote,1,1,6,3,4,2,5,5,7
Basque Wiktionary,euwiktionary,1,2,10,3,4,2,3,7,7
Samoan Wikipedia,smwiki,1,1,6,3,4,2,5,2,10
Romanian Wikiquote,rowikiquote,1,1,8,3,3,2,5,5,9
Tok Pisin Wikipedia,tpiwiki,1,1,6,3,4,2,5,2,10
Gothic Wikipedia,gotwiki,1,1,6,3,4,2,5,6,8
Georgian Wikiquote,kawikiquote,1,1,6,3,4,2,5,5,5
Swedish Wikivoyage,svwikivoyage,1,1,6,3,4,2,5,5,5
Norwegian Wikisource,nowikisource,1,1,6,3,4,2,5,2,7
Sanskrit Wiktionary,sawiktionary,1,2,8,3,3,2,3,6,9
Sranan Tongo Wikipedia,srnwiki,1,1,6,3,4,2,5,6,10
Kongo Wikipedia,kgwiki,1,1,6,3,4,2,5,6,10
Nauru Wikipedia,nawiki,1,1,6,3,4,2,5,2,10
Burmese Wiktionary,mywiktionary,1,2,3,1,1,4,3,7,7
Komi-Permyak Wikipedia,koiwiki,1,1,6,3,4,2,3,2,7
Chamorro Wikipedia,chwiki,1,1,6,3,4,2,5,2,5
Lojban Wikipedia,jbowiki,1,1,6,3,4,2,5,2,5
Dinka Wikipedia,dinwiki,4,4,9,4,5,3,2,3,2
Latgalian Wikipedia,ltgwiki,1,1,6,3,4,2,5,5,5
Danish Wikiquote,dawikiquote,1,1,8,3,3,2,5,5,5
Esperanto Wikisource,eowikisource,1,1,6,3,4,2,5,6,7
Catalan Wikinews,cawikinews,1,1,10,3,4,2,3,2,7
Moksha Wikipedia,mdfwiki,1,1,6,3,4,2,5,6,7
Sango Wikipedia,sgwiki,1,1,6,3,4,2,5,5,10
Urdu Wiktionary,urwiktionary,1,2,5,1,1,2,3,7,6
Swati Wikipedia,sswiki,1,1,6,3,4,2,5,5,10
Urdu Wikiquote,urwikiquote,1,1,5,1,1,2,5,6,6
Serbo-Croatian Wiktionary,shwiktionary,2,2,3,1,1,4,3,7,9
Tahitian Wikipedia,tywiki,1,1,6,3,4,2,5,6,10
Tumbuka Wikipedia,tumwiki,1,1,6,3,4,2,5,6,10
Estonian Wikisource,etwikisource,1,1,6,3,4,2,5,6,7
Estonian Wikibooks,etwikibooks,1,1,6,3,4,2,5,5,7
Esperanto Wikiquote,eowikiquote,1,1,6,3,4,2,5,6,9
Odia Wikisource,orwikisource,1,1,8,3,3,2,5,5,7
Finnish Wikivoyage,fiwikivoyage,4,4,9,4,5,3,2,3,2
Korean Wikiversity,kowikiversity,1,1,8,3,3,2,5,5,9
Estonian Wikiquote,etwikiquote,1,1,8,3,3,2,5,5,9
Zhuang Wikipedia,zawiki,1,1,6,3,4,2,5,6,10
Low German Wiktionary,ndswiktionary,1,1,6,3,4,2,3,6,7
Tongan Wikipedia,towiki,1,1,6,3,4,2,5,2,10
Serbian Wikinews,srwikinews,1,2,10,3,4,2,3,7,5
Galician Wikisource,glwikisource,1,1,6,3,4,2,5,5,5
Kabardian Wikipedia,kbdwiki,1,1,4,3,3,2,5,2,8
Tamil Wikibooks,tawikibooks,1,1,4,3,3,2,5,5,9
Ewe Wikipedia,eewiki,1,1,6,3,4,2,5,5,10
Inupiaq Wikipedia,ikwiki,1,1,6,3,4,2,5,5,10
Marathi Wikisource,mrwikisource,1,1,6,3,4,2,5,2,7
Cheyenne Wikipedia,chywiki,1,1,6,3,4,2,5,6,10
Norwegian Wikiquote,nowikiquote,1,1,6,3,4,2,5,5,7
Slovenian Wiktionary,slwiktionary,1,2,4,3,3,2,3,2,9
Swedish Wikiversity,svwikiversity,1,1,6,3,4,2,5,5,7
Telugu Wiktionary,tewiktionary,1,2,8,3,3,4,3,7,9
Slovak Wikisource,skwikisource,1,1,6,3,4,2,5,6,5
Breton Wikisource,brwikisource,1,1,6,3,4,2,5,2,7
Rundi Wikipedia,rnwiki,1,1,6,3,4,2,5,6,8
Slovenian Wikibooks,slwikibooks,1,1,8,3,3,2,5,5,7
Marathi Wiktionary,mrwiktionary,1,1,8,3,3,2,5,6,9
Fulah Wikipedia,ffwiki,1,1,6,3,4,2,5,5,10
Serbian Wikiquote,srwikiquote,1,1,8,3,3,2,5,5,9
Nyanja Wikipedia,nywiki,1,1,6,3,4,2,5,6,10
Kashmiri Wikipedia,kswiki,1,1,6,3,4,2,5,6,6
Fijian Wikipedia,fjwiki,1,1,6,3,4,2,5,6,10
Norwegian Nynorsk Wiktionary,nnwiktionary,1,1,10,3,4,2,3,6,7
Macedonian Wikisource,mkwikisource,1,1,6,3,4,2,5,6,7
Tajik Wiktionary,tgwiktionary,1,2,6,3,4,2,3,7,9
Pontic Wikipedia,pntwiki,1,1,7,1,1,2,5,5,2
Lak Wikipedia,lbewiki,1,1,6,3,4,2,5,6,7
Cree Wikipedia,crwiki,1,1,6,3,4,2,5,5,5
Punjabi Wiktionary,pawiktionary,1,1,6,3,4,2,3,6,7
Inuktitut Wikipedia,iuwiki,1,1,6,3,4,2,5,5,10
Venetian Wiktionary,vecwiktionary,1,1,10,3,4,2,5,6,7
Venda Wikipedia,vewiki,1,1,6,3,4,2,5,5,10
Bashkir Wikibooks,bawikibooks,4,4,9,4,5,3,2,3,2
Swahili Wiktionary,swwiktionary,1,2,8,3,3,2,3,2,9
Dzongkha Wikipedia,dzwiki,1,1,4,3,3,2,5,5,8
Cherokee Wiktionary,chrwiktionary,1,2,6,3,4,4,3,7,7
Norwegian Wikibooks,nowikibooks,1,1,4,3,3,2,5,5,5
Galician Wikiquote,glwikiquote,1,1,6,3,4,2,5,6,7
Georgian Wikibooks,kawikibooks,1,1,8,3,3,2,5,5,9
Korean Wikinews,kowikinews,1,1,8,3,3,2,5,5,7
Kannada Wikiquote,knwikiquote,1,1,8,3,3,2,5,5,7
Basque Wikiquote,euwikiquote,1,1,6,3,4,2,5,5,5
Odia Wiktionary,orwiktionary,1,2,3,1,1,2,3,7,4
Venetian Wikisource,vecwikisource,1,1,6,3,4,2,5,6,7
Urdu Wikibooks,urwikibooks,1,1,5,1,1,2,5,5,6
Guarani Wiktionary,gnwiktionary,1,1,8,3,3,2,5,6,9
Khmer Wikibooks,kmwikibooks,1,1,8,3,3,2,5,5,7
Sinhala Wikibooks,siwikibooks,1,1,4,3,3,2,5,5,9
Adyghe Wikipedia,adywiki,1,1,6,3,4,2,5,5,1
Western Frisian Wiktionary,fywiktionary,1,2,6,3,4,2,3,6,7
Bosnian Wikisource,bswikisource,1,1,8,3,3,2,5,5,7
Hindi Wikiversity,hiwikiversity,1,1,6,3,4,2,5,5,7
Karachay-Balkar Wikipedia,krcwiki,1,1,6,3,4,2,3,2,10
Lithuanian Wikisource,ltwikisource,1,1,4,3,3,2,5,5,9
Japanese Wikiversity,jawikiversity,1,1,4,3,3,2,5,5,9
Asturian Wiktionary,astwiktionary,1,2,6,3,4,2,3,6,7
Tigrinya Wikipedia,tiwiki,1,1,6,3,4,2,5,5,1
Greek Wikinews,elwikinews,1,1,6,3,4,2,5,6,5
Sinhala Wiktionary,siwiktionary,1,1,6,3,4,2,5,6,7
Tamil Wikinews,tawikinews,1,1,10,3,4,2,5,6,9
Tatar Wikibooks,ttwikibooks,1,1,8,3,3,2,5,6,9
Sundanese Wikiquote,suwikiquote,1,1,8,3,3,2,5,6,7
Norwegian Nynorsk Wikiquote,nnwikiquote,1,1,6,3,4,2,5,6,9
Serbian Wikibooks,srwikibooks,1,1,8,3,3,2,5,6,9
Sakha Wikisource,sahwikisource,1,1,8,3,3,2,5,5,7
Kyrgyz Wiktionary,kywiktionary,1,2,8,3,3,2,3,6,9
Romanian Wikivoyage,rowikivoyage,1,1,6,3,4,2,5,5,8
Welsh Wiktionary,cywiktionary,1,2,10,3,4,2,3,7,9
Kazakh Wiktionary,kkwiktionary,1,1,8,3,3,2,5,6,8
Afrikaans Wikiquote,afwikiquote,1,1,8,3,3,2,5,5,9
Turkish Wikinews,trwikinews,1,1,10,3,4,2,5,6,5
Chinese (Min Nan) Wiktionary,zh_min_nanwiktionary,1,1,10,3,4,2,3,6,9
Esperanto Wikibooks,eowikibooks,1,1,8,3,3,2,5,5,9
Albanian Wikiquote,sqwikiquote,1,1,8,3,3,2,5,5,9
Basque Wikibooks,euwikibooks,1,1,8,3,3,2,5,5,7
Marathi Wikibooks,mrwikibooks,1,1,8,3,3,2,5,5,9
Limburgish Wiktionary,liwiktionary,1,2,10,3,4,2,3,7,9
Marathi Wikiquote,mrwikiquote,1,1,8,3,3,2,5,5,9
Persian Wikinews,fawikinews,1,1,5,1,1,2,5,2,6
Armenian Wikibooks,hywikibooks,1,1,8,3,3,2,5,5,9
Nepali Wiktionary,newiktionary,1,1,6,3,4,2,5,5,7
Latin Wikiquote,lawikiquote,1,1,8,3,3,2,5,5,9
Maori Wiktionary,miwiktionary,1,1,6,3,4,2,5,6,9
Malay Wikibooks,mswikibooks,1,1,8,3,3,2,5,5,9
Sindhi Wiktionary,sdwiktionary,1,1,10,3,4,2,5,6,6
Telugu Wikibooks,tewikibooks,1,1,8,3,3,2,5,5,9
Hindi Wikivoyage,hiwikivoyage,4,4,9,4,5,3,2,3,2
Volapuk Wiktionary,NA,1,1,10,3,4,2,5,6,9
Limburgish Wikiquote,liwikiquote,1,1,6,3,4,2,5,6,7
Macedonian Wikibooks,mkwikibooks,1,1,8,3,3,2,5,5,9
Sanskrit Wikibooks,sawikibooks,1,1,8,3,3,2,5,6,7
Tatar Wiktionary,ttwiktionary,1,1,6,3,4,2,5,6,9
Tamil Wikiquote,tawikiquote,1,1,8,3,3,2,5,5,9
Icelandic Wikisource,iswikisource,1,1,6,3,4,2,5,6,7
Esperanto Wikinews,eowikinews,1,1,10,3,4,2,5,5,9
Telugu Wikiquote,tewikiquote,1,1,8,3,3,2,5,5,9
Belarusian Wiktionary,bewiktionary,1,1,6,3,4,2,5,6,5
Interlingua Wiktionary,iawiktionary,1,1,10,3,4,2,5,6,9
Malayalam Wikibooks,mlwikibooks,1,1,8,3,3,2,5,5,9
Romanian Wikinews,rowikinews,1,1,6,3,4,2,5,6,7
Bosnian Wiktionary,bswiktionary,1,1,10,3,4,2,3,6,7
Lao Wiktionary,lowiktionary,1,2,8,3,3,2,3,7,9
Punjabi Wikisource,pawikisource,4,4,9,4,5,3,2,3,2
Faroese Wiktionary,fowiktionary,1,1,6,3,4,2,5,6,7
Aragonese Wiktionary,anwiktionary,1,1,10,3,4,2,5,6,9
Yiddish Wikisource,yiwikisource,1,1,10,3,4,2,5,6,6
Limburgish Wikisource,liwikisource,1,1,6,3,4,2,5,6,7
Southern Sotho Wiktionary,stwiktionary,1,1,6,3,4,2,5,6,9
Pashto Wiktionary,pswiktionary,1,1,5,1,1,2,5,6,6
Assamese Wikisource,aswikisource,1,1,6,3,4,2,5,6,7
Limburgish Wikibooks,liwikibooks,1,1,6,3,4,2,5,6,7
Breton Wikiquote,brwikiquote,1,1,8,3,3,2,5,5,7
Interlingue Wiktionary,iewiktionary,1,1,6,3,4,2,5,6,7
Swedish Wikinews,svwikinews,1,1,10,3,4,2,5,6,5
Lojban Wiktionary,jbowiktionary,1,1,10,3,4,2,5,6,9
Kurdish Wikiquote,kuwikiquote,1,1,6,3,4,2,5,5,9
Luxembourgish Wiktionary,lbwiktionary,1,1,8,3,3,2,5,6,9
Corsican Wiktionary,cowiktionary,1,1,10,3,4,2,3,6,9
Macedonian Wiktionary,mkwiktionary,1,1,10,3,4,2,5,6,5
Kurdish Wikibooks,kuwikibooks,1,1,8,3,3,2,5,5,9
Nahuatl Wiktionary,nahwiktionary,1,1,10,3,4,2,5,6,9
Kashubian Wiktionary,csbwiktionary,1,1,10,3,4,2,5,6,9
Sanskrit Wikiquote,sawikiquote,1,1,8,3,3,2,5,5,9
Sundanese Wiktionary,suwiktionary,1,1,8,3,3,2,5,6,9
Gujarati Wikiquote,guwikiquote,1,1,6,3,4,2,5,6,7
Welsh Wikisource,cywikisource,1,1,8,3,3,2,5,5,9
Irish Wiktionary,gawiktionary,1,1,8,3,3,2,5,6,9
Albanian Wikinews,sqwikinews,1,1,6,3,4,2,5,6,9
Upper Sorbian Wiktionary,hsbwiktionary,1,1,10,3,4,2,5,6,9
Wolof Wiktionary,wowiktionary,1,1,6,3,4,2,5,6,9
Amharic Wiktionary,amwiktionary,1,1,8,3,3,2,5,5,9
Latin Wikibooks,lawikibooks,1,1,8,3,3,2,5,5,9
Nepali Wikibooks,newikibooks,1,1,6,3,4,2,5,5,9
Occitan Wikibooks,ocwikibooks,1,1,8,3,3,2,5,5,9
Turkmen Wiktionary,tkwiktionary,1,1,10,3,4,2,5,6,9
Maltese Wiktionary,mtwiktionary,1,1,8,3,3,2,5,6,9
Hausa Wiktionary,hawiktionary,1,1,10,3,4,2,5,6,9
Uyghur Wiktionary,ugwiktionary,1,1,10,3,4,2,5,6,6
Aromanian Wiktionary,roa_rupwiktionary,1,1,10,3,4,2,5,6,9
Chinese (Min Nan) Wikisource,zh_min_nanwikisource,1,1,8,3,3,2,5,5,9
Quechua Wiktionary,quwiktionary,1,1,10,3,4,2,5,6,10
Belarusian Wikibooks,bewikibooks,1,1,8,3,3,2,5,5,7
Fiji Hindi Wiktionary,hifwiktionary,4,4,9,4,5,3,2,3,2
Western Frisian Wikibooks,alswikibooks,4,4,9,4,5,3,2,3,2
Faroese Wikisource,pawikibooks,1,1,10,3,4,2,5,5,9
Fijian Wiktionary,pmswikisource,4,4,9,4,5,3,2,3,2
Tswana Wiktionary,bnwikivoyage,4,4,9,4,5,3,2,3,2
Tajik Wikibooks,lfnwiki,4,4,9,4,5,3,2,3,2
Pali Wikipedia,inhwiki,4,4,9,4,5,3,2,3,2
Tigrinya Wiktionary,omwiktionary,4,4,9,4,5,3,2,3,2
Tok Pisin Wiktionary,gorwiki,4,4,9,4,5,3,2,3,2
Finnish Wikinews,euwikisource,1,1,8,3,3,2,5,6,8
Samoan Wiktionary,alswikiquote,4,4,9,4,5,3,2,3,2
Manx Wiktionary,aywiktionary,1,1,8,3,3,2,5,6,8
Hebrew Wikinews,mowiki,4,4,9,4,5,3,2,3,2
Welsh Wikiquote,mowiktionary,4,4,9,4,5,3,2,3,2
Bulgarian Wikinews,mgwikibooks,1,1,8,3,3,2,5,5,9
Sango Wiktionary,nawiktionary,1,1,10,3,4,2,5,6,9
Kashmiri Wiktionary,afwikibooks,1,1,10,3,4,2,5,5,6
Western Punjabi Wiktionary,nowikinews,1,1,10,3,4,2,5,6,6
Kalaallisut Wiktionary,pswikivoyage,4,4,9,4,5,3,2,3,2
Kyrgyz Wikibooks,kywikiquote,1,1,8,3,3,2,5,5,8
Bosnian Wikibooks,angwiktionary,1,1,8,3,3,2,5,6,9
Bosnian Wikinews,alswiktionary,4,4,9,4,5,3,2,3,2
Javanese Wiktionary,betawikiversity,1,1,8,3,3,2,5,5,2
Kinyarwanda Wiktionary,lnwiktionary,1,1,10,3,4,2,5,6,9
Yiddish Wiktionary,tswiktionary,1,1,10,3,4,2,5,6,6
Inuktitut Wiktionary,kwwiktionary,1,1,10,3,4,2,5,6,9
Icelandic Wikiquote,guwiktionary,1,1,10,3,4,2,5,6,9
Somali Wiktionary,sswiktionary,1,1,10,3,4,2,5,6,9
Interlingua Wikibooks,cvwikibooks,1,1,8,3,3,2,5,5,9
Wolof Wikiquote,glwikibooks,1,1,10,3,4,2,5,6,8
Zulu Wiktionary,uzwikiquote,1,1,8,3,3,2,5,5,9
Kyrgyz Wikiquote,gdwiktionary,1,1,10,3,4,2,5,5,6
Divehi Wiktionary,cywikibooks,1,1,8,3,3,2,5,5,9
Uzbek Wikiquote,sowiktionary,1,1,10,3,4,2,5,6,9
Moldovan Wikipedia,fywikibooks,1,1,10,3,4,2,5,5,8
Aymara Wiktionary,fowikisource,1,1,10,3,4,2,5,5,9
Tosk Wikiquote,fjwiktionary,1,1,10,3,4,2,3,6,8
Ingush Wikipedia,fiwikinews,1,1,10,3,4,2,5,5,8
Gorontalo Wikipedia,tgwikibooks,1,1,10,3,4,2,5,5,8
Basque Wikisource,tiwiktionary,1,1,10,3,4,2,5,6,8
Moldovan Wiktionary,tnwiktionary,1,1,10,3,4,2,5,6,8
Lingua Franca Nova Wikipedia,tpiwiktionary,1,1,10,3,4,2,5,5,8
Oromo Wiktionary,cywikiquote,1,1,10,3,4,2,5,6,8
Piedmontese Wikisource,smwiktionary,1,1,10,3,4,2,5,6,8
Punjabi Wikibooks,gvwiktionary,1,1,8,3,3,2,5,6,9
Tosk Wikibooks,hewikinews,1,1,10,3,4,2,5,5,8
Bangla Wikivoyage,piwiki,1,1,10,3,4,2,5,5,8
Malagasy Wikibooks,bgwikinews,1,1,4,3,3,2,5,5,8
Nauru Wiktionary,zuwiktionary,1,1,10,3,4,2,5,6,9
Afrikaans Wikibooks,kswiktionary,1,1,10,3,4,2,5,5,9
Norwegian Wikinews,pnbwiktionary,1,1,10,3,4,2,5,6,9
Pashto Wikivoyage,klwiktionary,1,1,10,3,4,2,5,6,6
Scottish Gaelic Wiktionary,dvwiktionary,1,1,8,3,3,2,5,5,9
Old English Wiktionary,bswikibooks,1,1,8,3,3,2,5,5,9
Tosk Wiktionary,bswikinews,1,1,10,3,4,2,5,6,8
Wikiversity Beta,jvwiktionary,1,2,3,1,1,2,3,7,9
Lingala Wiktionary,rwwiktionary,1,1,10,3,4,2,5,6,9
Tsonga Wiktionary,yiwiktionary,1,1,10,3,4,2,5,5,9
Cornish Wiktionary,iuwiktionary,1,1,10,3,4,2,5,6,8
Gujarati Wiktionary,iswikiquote,1,1,8,3,3,2,5,5,9
Swati Wiktionary,sgwiktionary,1,1,10,3,4,2,5,5,9
Chuvash Wikibooks,iawikibooks,1,1,8,3,3,2,5,5,9
Galician Wikibooks,wowikiquote,1,1,8,3,3,2,5,5,9
Welsh Wikibooks,kywikibooks,1,1,8,3,3,2,5,6,9
Sakha Wikiquote,sahwikiquote,4,4,9,4,5,3,2,3,2
