Wiki,dbname,DP-means (4 clusters),DP-means (5 clusters),Hierarchical (10 clusters),Hierarchical (4 clusters),Hierarchical (5 clusters),k-means (4 clusters),k-means (5 clusters),k-means (10 clusters),Model-based (4 clusters)
Chinese Wikisource,zhwikisource,2,5,3,1,1,4,4,4,7
Dutch Wiktionary,nlwiktionary,2,5,3,1,1,4,4,4,7
Polish Wikiquote,plwikiquote,2,5,4,3,3,4,4,1,1
Urdu Wikipedia,urwiki,3,3,2,2,2,1,1,8,3
German Wikisource,dewikisource,2,5,3,1,1,4,4,1,7
Japanese Wikibooks,jawikibooks,2,2,4,3,3,4,3,4,1
Kannada Wikipedia,knwiki,2,5,3,1,1,4,4,1,1
Portuguese Wiktionary,ptwiktionary,2,5,3,1,1,4,4,4,7
Spanish Wikisource,eswikisource,2,5,3,1,1,4,4,4,7
Chinese Wiktionary,zhwiktionary,2,5,3,1,1,4,4,4,7
Arabic Wikisource,arwikisource,2,2,5,1,1,4,4,4,6
Czech Wiktionary,cswiktionary,2,2,3,1,1,4,4,4,7
Spanish Wikiquote,eswikiquote,2,5,4,3,3,4,4,1,1
Swahili Wikipedia,swwiki,2,2,3,1,1,4,4,1,1
French Wikibooks,frwikibooks,2,2,3,1,1,4,4,1,1
Italian Wikisource,itwikisource,2,5,3,1,1,4,4,1,7
Icelandic Wikipedia,iswiki,2,5,3,1,1,4,4,1,1
Italian Wikiversity,itwikiversity,2,2,4,3,3,4,3,1,7
Finnish Wiktionary,fiwiktionary,2,5,3,1,1,4,4,4,4
Turkish Wiktionary,trwiktionary,2,5,3,1,1,4,4,4,7
Portuguese Wikibooks,ptwikibooks,3,3,3,1,1,1,1,8,3
English Wikinews,enwikinews,2,5,3,1,1,4,4,1,7
Uzbek Wikipedia,uzwiki,2,2,3,1,1,4,4,4,1
Hebrew Wikisource,hewikisource,2,2,5,1,1,4,4,4,6
Spanish Wikiversity,eswikiversity,2,2,4,3,3,4,3,1,1
Italian Wikibooks,itwikibooks,2,2,4,3,3,4,3,1,1
Mongolian Wikipedia,mnwiki,2,2,3,1,1,4,3,1,1
Latin Wikipedia,lawiki,2,5,3,1,1,4,4,1,1
Javanese Wikipedia,jvwiki,2,2,3,1,1,4,4,1,5
Russian Wikivoyage,ruwikivoyage,2,2,3,1,1,4,3,1,7
Belarusian (Taraskievica orthography) Wikipedia,NA,2,2,3,1,1,4,4,1,5
Korean Wiktionary,kowiktionary,2,2,3,1,1,4,4,4,7
Multilingual Wikisource,sourceswiki,2,2,3,1,1,4,4,1,7
Cebuano Wikipedia,cebwiki,2,2,3,1,1,4,4,7,4
Welsh Wikipedia,cywiki,2,2,3,1,1,4,4,1,5
Italian Wikivoyage,itwikivoyage,2,2,3,1,1,4,3,1,5
Vietnamese Wiktionary,viwiktionary,2,5,3,1,1,4,4,4,9
Kyrgyz Wikipedia,kywiki,2,2,3,1,1,4,3,4,5
Asturian Wikipedia,astwiki,2,2,3,1,1,4,4,1,5
Hebrew Wiktionary,hewiktionary,2,2,5,1,1,4,3,1,6
Polish Wikisource,plwikisource,2,5,3,1,1,4,4,4,7
Armenian Wiktionary,hywiktionary,2,2,3,1,1,4,3,7,7
French Wikiquote,frwikiquote,2,2,3,1,1,4,3,8,3
Gujarati Wikipedia,guwiki,2,2,1,1,1,4,3,1,1
Chinese Wikiquote,zhwikiquote,2,2,4,3,3,4,3,2,1
Russian Wikibooks,ruwikibooks,2,2,4,3,3,4,3,2,1
Punjabi Wikipedia,pawiki,2,2,3,1,1,4,3,1,1
Nepali Wikipedia,newiki,2,2,1,1,1,4,3,1,1
Indonesian Wikibooks,idwikibooks,2,2,4,3,3,4,3,4,9
Russian Wikiversity,ruwikiversity,2,2,4,3,3,4,3,2,7
Sundanese Wikipedia,suwiki,2,2,6,3,4,4,3,4,5
French Wikivoyage,frwikivoyage,3,3,3,1,1,4,1,8,3
Thai Wiktionary,thwiktionary,2,2,3,1,1,4,3,4,7
Polish Wikibooks,plwikibooks,2,2,4,3,3,4,3,2,1
Tosk Wikipedia,alswiki,2,2,7,1,1,4,3,1,4
Sinhala Wikipedia,siwiki,2,2,3,1,1,4,3,1,1
Luxembourgish Wikipedia,lbwiki,2,2,3,1,1,4,3,1,5
Central Kurdish Wikipedia,ckbwiki,2,2,5,1,1,4,3,1,6
German Wikiversity,dewikiversity,2,2,3,1,1,4,3,1,7
Russian Wikinews,ruwikinews,2,2,3,1,1,4,3,1,7
Scots Wikipedia,scowiki,2,2,3,1,1,4,3,1,5
Turkish Wikiquote,trwikiquote,2,2,4,3,3,4,3,2,1
Dutch Wikibooks,nlwikibooks,2,2,4,3,3,4,3,1,5
Indonesian Wiktionary,idwiktionary,2,2,3,1,1,4,3,4,7
Chinese Wikibooks,zhwikibooks,2,2,4,3,3,4,3,2,4
Simple English Wiktionary,simplewiktionary,2,2,4,3,3,4,3,1,1
Portuguese Wikiversity,ptwikiversity,2,2,6,3,4,4,3,2,5
Bavarian Wikipedia,barwiki,2,2,7,1,1,4,3,1,4
Burmese Wikipedia,mywiki,2,2,1,1,1,4,3,1,4
Japanese Wikisource,jawikisource,2,2,6,3,4,4,3,2,7
German Wikiquote,dewikiquote,2,2,4,3,3,4,3,1,5
Classical Chinese Wikipedia,zh_classicalwiki,2,2,7,1,1,4,3,1,4
Persian Wikisource,fawikisource,2,2,5,1,1,4,3,4,6
Western Frisian Wikipedia,fywiki,2,2,3,1,1,4,3,1,5
Breton Wikipedia,brwiki,2,2,3,1,1,4,3,1,5
Irish Wikipedia,gawiki,2,2,3,1,1,4,3,1,5
Aragonese Wikipedia,anwiki,2,2,3,1,1,4,3,1,7
Bashkir Wikipedia,bawiki,2,2,3,1,1,4,3,1,7
Occitan Wikipedia,ocwiki,2,2,3,1,1,4,3,1,5
Persian Wikibooks,fawikibooks,2,2,5,1,1,4,3,2,6
Hebrew Wikiquote,hewikiquote,2,2,5,1,1,4,3,2,6
Tajik Wikipedia,tgwiki,2,2,6,3,4,4,3,1,1
Khmer Wikipedia,kmwiki,2,2,4,3,3,4,3,2,4
Tatar Wikipedia,ttwiki,2,2,3,1,1,4,3,1,5
Norwegian Wiktionary,nowiktionary,2,2,3,1,1,4,3,4,9
Arabic Wiktionary,arwiktionary,2,2,5,1,1,4,3,4,6
Persian Wikiquote,fawikiquote,2,2,5,1,1,4,3,2,6
Persian Wiktionary,fawiktionary,2,2,5,1,1,4,3,4,6
Odia Wikipedia,orwiki,2,2,3,1,1,4,3,1,4
Waray Wikipedia,warwiki,2,2,6,3,4,4,3,7,5
Catalan Wiktionary,cawiktionary,2,2,3,1,1,4,3,7,7
Hebrew Wikibooks,hewikibooks,2,2,5,1,1,4,3,2,6
Korean Wikisource,kowikisource,2,2,6,3,4,4,3,2,7
Hungarian Wiktionary,huwiktionary,2,2,8,3,3,4,3,4,9
Arabic Wikiquote,arwikiquote,1,2,5,1,1,4,3,2,6
Kurdish Wikipedia,kuwiki,2,2,6,3,4,4,3,1,1
Thai Wikibooks,thwikibooks,2,2,4,3,3,4,3,2,9
Arabic Wikibooks,arwikibooks,1,2,5,1,1,4,3,2,6
Chinese (Min Nan) Wikipedia,zh_min_nanwiki,2,2,3,1,1,4,3,7,7
Thai Wikisource,thwikisource,2,2,4,3,3,4,3,2,1
Assamese Wikipedia,aswiki,2,2,3,1,1,4,3,2,1
South Azerbaijani Wikipedia,azbwiki,2,2,5,1,1,4,3,7,6
Tamil Wiktionary,tawiktionary,2,2,3,1,1,4,3,7,9
Turkish Wikisource,trwikisource,1,2,4,3,3,4,3,2,7
Somali Wikipedia,sowiki,2,2,4,3,3,4,3,2,1
Slovenian Wikisource,slwikisource,1,2,6,3,4,4,3,2,7
Portuguese Wikiquote,ptwikiquote,2,2,4,3,3,4,3,2,5
Finnish Wikibooks,fiwikibooks,1,2,6,3,4,4,3,2,5
Sicilian Wikipedia,scnwiki,2,2,3,1,1,4,3,2,5
Low German Wikipedia,ndswiki,2,2,3,1,1,4,3,1,5
Venetian Wikipedia,vecwiki,2,2,6,3,4,4,3,2,10
Spanish Wikivoyage,eswikivoyage,1,2,6,3,4,4,3,2,5
Ukrainian Wikiquote,ukwikiquote,1,2,3,1,1,4,3,2,7
Portuguese Wikisource,ptwikisource,2,2,4,3,3,4,3,4,9
Wu Chinese Wikipedia,wuuwiki,2,2,6,3,4,4,3,2,1
Igbo Wikipedia,igwiki,1,2,4,3,3,4,3,2,5
Bulgarian Wiktionary,bgwiktionary,2,2,4,3,3,4,3,4,9
Lombard Wikipedia,lmowiki,2,2,8,3,3,4,3,2,10
Yiddish Wikipedia,yiwiki,2,2,5,1,1,4,3,2,6
Ukrainian Wiktionary,ukwiktionary,2,2,4,3,3,4,3,7,9
Mazanderani Wikipedia,mznwiki,2,2,5,1,1,4,3,2,6
Czech Wikiquote,cswikiquote,1,2,6,3,4,4,3,2,7
Hindi Wikibooks,hiwikibooks,1,2,4,3,3,2,3,2,1
Amharic Wikipedia,amwiki,2,2,3,1,1,4,3,2,1
Pashto Wikipedia,pswiki,2,2,5,1,1,4,3,2,6
Czech Wikisource,cswikisource,2,2,6,3,4,4,3,7,7
Polish Wikivoyage,plwikivoyage,1,2,6,3,4,4,3,2,5
Spanish Wikinews,eswikinews,2,2,3,1,1,4,3,1,7
Romanian Wikisource,rowikisource,2,2,4,3,3,4,3,2,9
Persian Wikivoyage,fawikivoyage,1,2,5,1,1,4,3,2,6
Sakha Wikipedia,sahwiki,1,2,6,3,4,4,3,2,5
Bhojpuri Wikipedia,bhwiki,1,2,6,3,4,4,3,2,1
Fiji Hindi Wikipedia,hifwiki,2,2,6,3,4,4,3,2,5
Romanian Wiktionary,rowiktionary,2,2,3,1,1,4,3,7,7
Interlingua Wikipedia,iawiki,2,2,6,3,4,4,3,2,5
Chuvash Wikipedia,cvwiki,2,2,3,1,1,4,3,7,7
Western Punjabi Wikipedia,pnbwiki,2,2,5,1,1,4,3,7,6
French Wikinews,frwikinews,2,2,3,1,1,4,3,1,5
German Wikinews,dewikinews,2,2,3,1,1,4,3,2,7
Limburgish Wikipedia,liwiki,2,2,6,3,4,4,3,2,5
Czech Wikiversity,cswikiversity,1,2,6,3,4,2,3,2,7
Vietnamese Wikiquote,viwikiquote,1,1,4,3,3,2,5,2,9
Hindi Wiktionary,hiwiktionary,2,2,3,1,1,4,3,7,4
Turkish Wikibooks,trwikibooks,1,2,4,3,3,2,3,2,9
Serbian Wiktionary,srwiktionary,2,2,3,1,1,4,3,7,7
Turkmen Wikipedia,tkwiki,1,2,6,3,4,4,3,2,5
Portuguese Wikinews,ptwikinews,2,2,3,1,1,4,3,2,5
Ido Wikipedia,iowiki,2,2,6,3,4,4,3,2,5
